segments,right_label,text,speaker
1_80,False,"Since it's not bee season, you can have my epinephrine.",SHELDON
1_90,False,"Lois Lane is falling, accelerating at an initial rate of 32 feet per second per second. Superman swoops down to save her by reaching out two arms of steel. Miss Lane, who is now traveling at approximately 120 miles an hour, hits them and is immediately sliced into three equal pieces.",SHELDON
1_162,False,"Sheldon, if you were a robot, and I knew and you didn't...",HOWARD
1_467,False,That woman looks exactly like the pictures of Princess Panchali in the book. How often does one see a beloved fictional character come to life?,SHELDON
1_1180,True,"Oh, please. The only way she could make a contribution to science would be if they resumed sending chimps into space.",SHELDON
1_1189,False,"I'm sorry, I am not going back to the Renaissance fair.",SHELDON
1_1484,False,The big deal is that nobody touches food on my plate.,SHELDON
1_2354,True,"So? Do cocaine smugglers write ""cocaine"" on the box?",SHELDON
1_2797,True,It's an iCal download. She can put it right in her phone.,SHELDON
1_2819,True,"You know, I've always wanted to go to a Goth nightclub.",SHELDON
1_3064,True,When I have enough to destroy all the human toast on the Battlestar known as Galactica.,SHELDON
1_3287,True,"Oh, sure. And while we're at it, why don't we put our hands behind our backs, have an old-fashioned eating contest?",SHELDON
1_3545,True,"I understand your point, but given a choice, Jews always go with Chinese food.",HOWARD
1_3837,False,"Excuse me, I'm thirsty, so I'm going to go to the refrigerator and get myself a refreshing beverage.",SHELDON
1_3840,False,"I read a study online that walking after a meal not only aids in digestion, but increases serotonin, and you know me, if there's one thing I like more than a refreshing beverage, it's serotonin. Bye-bye.",SHELDON
1_4352,False,He does it all the time. He's a cornucopia of social awkwardness.,SHELDON
1_4603,False,Is it possible that she was going for your cheek and you moved and she accidentally got lip? That happens with me and my mom all the time.,HOWARD
1_4760,True,"In the bedrooms of ten-year- old girls, where they belong.",SHELDON
1_4792,False,"Obviously, we're no longer a Justice League. We have no choice but to switch to our Muppet Baby costumes.",SHELDON
1_4995,True,"Hey, you taught me something. Who would have thought it?",SHELDON
1_5580,True,"Right, right, whereas Jewish mothers take a casual, la-di-da approach to their sons.",HOWARD
1_5617,True,is an event that's like a heart attack.,SHELDON
1_5786,False,"All right, so technically it's not a dinner date. I suppose you could call it a, uh, dinfast date. But if you did, you'd open yourself to peer-based mocking, such as, ""Hey, Leonard, how was your dinfast with Priya last night?""",SHELDON
1_5919,False,"Because you don't have a girlfriend? Well, good Lord, if that becomes a reason not to play Dungeons & Dragons, this game's in serious trouble.",SHELDON
1_5953,False,Here's some other fun news on the Raj/Emily front. He gave her a pair of diamond earrings and leased her a car.,HOWARD
1_5964,True,Smart. Whisper so the deaf chick can't hear you.,HOWARD
1_6113,False,"So, this spring, I get to go to the International Space Station. Oh, my word, a trip to the heavens.",HOWARD
1_6370,True,"Oh, of course he is. She's very interesting. Did you know, when she was 14, she severed the webbing between her own toes?",SHELDON
1_6426,True,"You know, the holidays are just around the corner. Maybe he wants to see if he can lodge the other testicle up there.",SHELDON
1_6472,True,You'd think a winner could make a decent cup of cocoa.,SHELDON
1_6683,True,"Yeah, terrific. The other astronauts would love to go hurtling through space with a guy named ""Crash.""",HOWARD
1_7186,False,"Not exactly. Listen, if you don't mind, I'm not really up for chatting. I'm just going to sit here quietly and let my life flash before my eyes.",HOWARD
1_7281,True,"Darn. If you weren't busy, I'd ask you to join us.",SHELDON
1_7442,False,"The original title was ""A Rederivation of Maxwell's Equations Regarding Electromagnetism"""" I dumbed it down because some of the more religious people in town were starting to say I was a witch.",SHELDON
1_7487,False,"Yeah, well, Bernadette's a little under the weather and my mom's kind of under my dentist.",HOWARD
1_7490,False,"It's okay, you know, we space cowboys don't do what we do for glory and fame. We leave that to your rock stars and your athletes and your Howie Mandels.",HOWARD
1_7641,False,"She was just so sad all the time. Yeah, I was the only person who could cheer her up. Well, me and Ben and Jerry.",HOWARD
1_8837,False,"Not as relieved as I'm about to be. It's a brave new world, little lady.",SHELDON
1_9009,False,"- No, no, no. I'm really good at this. All right, give me a hint. Does it involve difficulty initiating a stream of anything?",SHELDON
1_9971,True,I was gonna say we pick up a cake or a pie. But an insult to her faith is always thoughtful.,HOWARD
1_10190,False,"Well, now that I've given up string theory, I'm struggling to find my next area of focus. So, in your professional opinion, which of these areas do you think is the most promising?",SHELDON
1_10810,False,I'll give you a plan right now. Step one: open comic book store. Step two: start rumor this comic book store gives you genital warts.,SHELDON
1_11177,True,I'm listening to you snore. I'm wondering how I'll ever sleep without it.,SHELDON
1_11236,False,"Oh, you're hardly out of the woods, no. You still run the risk of infection, a blood clot, the possibility that an inattentive surgeon let a barn spider lay eggs in your nose.",SHELDON
1_11243,True,I love that you're too good to pee in the kitchen sink.,HOWARD
1_11253,False,"So as they say, all good things must come to an end.",SHELDON
1_11526,False,"As you may know, I've been experimenting with elevated anxiety levels, and I thought, what better way to increase my discomfort than to subject myself to an evening of tasteless uncensored crotch talk?",SHELDON
1_11913,True,It's why my people wandered the desert for 40 years. Took that long to walk it off.,HOWARD
1_11924,True,"All right, Amy's in charge of pricing and being 75.",HOWARD
